year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","181145","Alegent Health School of Radiologic Technology","NE","10","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","181145","Alegent Health School of Radiologic Technology","NE","8","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","","","","","","","",""
"2014","181145","Alegent Health School of Radiologic Technology","NE","6","Suppressed data","Suppressed data","","Suppressed data","","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","180814","Bellevue University","NE","10","60500","40900","","53600","","35300","80000","","48000","57300","74800","","46000","63300","49100","72900"
"2014","180814","Bellevue University","NE","8","56300","40200","","49400","","32000","72900","","","","","","","","",""
"2014","180814","Bellevue University","NE","6","52200","40000","","45200","","30100","66100","","37900","51200","68500","","40100","54500","45100","61700"
"2014","180878","BryanLGH College of Health Sciences","NE","10","53500","24200","","51300","","40500","64400","","Suppressed data","55800","Suppressed data","","56300","50200","Suppressed data","Suppressed data"
"2014","180878","BryanLGH College of Health Sciences","NE","8","50700","20900","","50500","","39600","62500","","","","","","","","",""
"2014","180878","BryanLGH College of Health Sciences","NE","6","47200","16700","","47800","","37000","56700","","46000","47300","47700","","47600","46000","Suppressed data","Suppressed data"
"2014","365693","Capitol School of Hairstyling and Esthetics","NE","10","27600","18400","","26000","","13000","37600","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","365693","Capitol School of Hairstyling and Esthetics","NE","8","23700","15900","","22600","","10200","33800","","","","","","","","",""
"2014","365693","Capitol School of Hairstyling and Esthetics","NE","6","23600","16000","","21100","","13400","31800","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","180902","Central Community College","NE","10","32800","24300","","30800","","18400","43300","","29200","35100","38300","","34900","30500","28200","41000"
"2014","180902","Central Community College","NE","8","31200","20800","","28300","","17600","40800","","","","","","","","",""
"2014","180902","Central Community College","NE","6","28500","16600","","27100","","16500","38200","","25100","31000","33200","","29400","27300","25600","33200"
"2014","180948","Chadron State College","NE","10","43000","44000","","38200","","25000","52500","","36800","43500","49500","","45200","35200","37900","49600"
"2014","180948","Chadron State College","NE","8","39000","27700","","35500","","21400","51600","","","","","","","","",""
"2014","180948","Chadron State College","NE","6","35700","30100","","32200","","22500","45200","","32200","34000","42700","","35300","36600","31300","40500"
"2014","180832","Clarkson College","NE","10","52900","30200","","49300","","34000","64700","","48800","50400","57800","","54000","51400","Suppressed data","Suppressed data"
"2014","180832","Clarkson College","NE","8","49400","21400","","48200","","35800","62400","","","","","","","","",""
"2014","180832","Clarkson College","NE","6","48800","21700","","49000","","36800","59400","","46000","48600","50700","","46500","51500","Suppressed data","Suppressed data"
"2014","180957","College of Hair Design","NE","10","24700","16400","","22600","","11800","33600","","Suppressed data","22900","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","180957","College of Hair Design","NE","8","21400","13200","","18800","","10900","30100","","","","","","","","",""
"2014","180957","College of Hair Design","NE","6","19300","12300","","18600","","9700","26400","","18100","17500","22500","","19800","18000","Suppressed data","Suppressed data"
